station,channel,pga_gal,pgv_cm_s,pgd_cm,arias_intensity_m_s,significant_duration_d5_95_s,qc_valid,qc_score
PPJR | 2026-02-05 18:04:27 UTC,HNE,87.1155301594473,7.226463642138352,0.7964191560588311,0.09797311347243408,21.070092976436996,True,70
KCJN | 2026-02-05 18:04:36 UTC,ACN,25.499832545534918,1.5751263304760537,0.2705174380355758,0.011976325891589736,36.89040445324642,True,70
KCJN | 2026-02-05 18:04:36 UTC,ACZ,8.5810051599555,0.9569728275829692,0.13432447703130174,0.002650655589024858,52.79563902778534,True,70
KYJR | 2026-02-05 18:04:36 UTC,HNE,28.921441422342525,2.5673584075861826,0.49145372335417137,0.022385112750246315,27.28724054372364,True,70
KYJR | 2026-02-05 18:04:36 UTC,HNN,31.17058948515709,3.6404362019581984,0.6019800892644425,0.02698205988139682,27.09994879546403,True,70
KYJR | 2026-02-05 18:04:36 UTC,HNZ,9.376771133260817,1.3012420011386996,0.18735290958534906,0.0045687040018588185,47.30496748671547,True,70
NBJR | 2026-02-05 18:04:36 UTC,HNE,28.084224044027085,1.4675005803784087,0.1616303955313443,0.02014144886847113,21.83242221865123,True,70
NBJR | 2026-02-05 18:04:36 UTC,HNN,30.14264967344671,1.5774377006001885,0.19871632247480245,0.016699827799167212,23.910546847285502,True,70
NBJR | 2026-02-05 18:04:36 UTC,HNZ,10.663199779557967,0.6326215394052707,0.09603769434771335,0.003327528046328683,34.71883184772305,True,70
MKJM | 2026-02-05 18:04:37 UTC,HNE,8.7318168027466,0.9038282986253343,0.20403891683059552,0.0026110193190031343,40.85359518386264,True,70
MKJM | 2026-02-05 18:04:37 UTC,HNN,7.190464246064968,0.597548512254553,0.10532891448334894,0.0020878467874384365,49.063468500899404,True,70
MKJM | 2026-02-05 18:04:37 UTC,HNZ,3.9411179459128034,0.40602582794849384,0.08671349994361936,0.0008776741674706143,57.57497267631027,True,70
MBJN | 2026-02-05 18:04:37 UTC,HNE,6.026233960810138,0.565607194807952,0.10197869573106268,0.0013294228079753809,57.29221256257338,True,70
MBJN | 2026-02-05 18:04:37 UTC,HNN,5.257991997973361,0.5638060098216942,0.08459161382889586,0.0012926053020077704,55.884699917113466,True,70
MBJN | 2026-02-05 18:04:37 UTC,HNZ,2.586710195915071,0.3998601426342338,0.1062581739514524,0.0004572485228962806,100.60015440194469,True,70
BOJI | 2026-02-05 18:04:37 UTC,HNE,4.383416155637575,0.5045433189599968,0.10306420974143712,0.0010311939777314283,67.3784678887267,True,70
BOJI | 2026-02-05 18:04:37 UTC,HNN,4.776787355822335,0.552511629051112,0.0778174642532273,0.000937553918057007,60.97654568225218,True,70
BOJI | 2026-02-05 18:04:37 UTC,HNZ,2.988380127608807,0.39467634594885354,0.11792047242536793,0.0004648114375165236,96.68363740446128,True,70
PLJI | 2026-02-05 18:04:37 UTC,HNE,6.392765056288615,0.8070902244255695,0.17260965649778134,0.0022333137528236257,58.30240881770084,True,70
PLJI | 2026-02-05 18:04:37 UTC,HNN,6.467230435466631,0.7694143265014443,0.17309891708713673,0.0023350641822144666,54.18940308580554,True,70
